Cause,Year,Accidents,Fatalities,Injuries
Driving on wrong side/Lane indiscipline,2022,22586,9094,21745
Driving on wrong side/Lane indiscipline,2023,25242,9432,24435
Drunken driving/consumption of alcohol & drug,2022,10080,4201,8809
Drunken driving/consumption of alcohol & drug,2023,9143,3674,8421
Jumping red light,2022,4021,1462,3450
Jumping red light,2023,2440,818,2157
Others,2022,83744,30435,80312
Others,2023,107909,38400,100951
Over-speeding,2022,333323,119904,322795
Over-speeding,2023,328727,117682,320416
Use of mobile phone,2022,7558,3395,6255
Use of mobile phone,2023,7122,2884,6445
